Year,Month,Temperature
1917,3,-0.22330097087378675
1917,4,0.02912621359223344
1917,5,0.2815533980582521
1917,6,0.3980582524271845
1917,7,0.6310679611650489
1917,8,0.6310679611650489
1917,9,0.5339805825242723
1917,10,0.41747572815534006
1917,11,-0.08737864077669888
1917,12,-0.5922330097087378
1918,1,-0.8834951456310678
1918,2,-0.4757281553398055
1918,3,-0.1262135922330101
1918,4,-0.009708737864077777
1918,5,0.14563106796116565
1918,6,0.4757281553398054
1918,7,0.4368932038834956
1918,8,0.5533980582524265
1918,9,0.4757281553398054
1918,10,0.5339805825242723
1918,11,0.06796116504854322
1918,12,-0.45631067961164984
1919,1,-0.6504854368932032
1919,2,-0.30097087378640774
1919,3,0.048543689320388994
1919,4,0.16504854368931987
1919,5,0.18446601941747542
1919,6,0.45631067961164984
