Year,Month,Rainfall
1968,4,55.400000000000006
1968,5,72.85
1968,6,82.65
1968,7,74.45
1968,8,93.94999999999999
1968,9,82.35
1968,10,66.7
1968,11,74.85
1968,12,68.35
1969,1,65.1
1969,2,51.65
1969,3,63.85
1969,4,66.9
1969,5,75.19999999999999
1969,6,77.35
1969,7,71.45
1969,8,82.6
1969,9,69.85
1969,10,58.9
1969,11,73.30000000000001
1969,12,57.15
1970,1,57.05
1970,2,56.5
1970,3,57.15
1970,4,61.599999999999994
1970,5,83.2
1970,6,65.9
1970,7,90.0
1970,8,82.69999999999999
1970,9,72.3
1970,10,76.2
1970,11,67.7
1970,12,56.9
1971,1,57.7
1971,2,47.95
1971,3,53.25
1971,4,60.099999999999994
1971,5,81.9
1971,6,74.65
1971,7,72.7
1971,8,72.9
1971,9,75.94999999999999
1971,10,57.95
1971,11,63.650000000000006
1971,12,52.1
1972,1,54.7
1972,2,47.7
1972,3,57.3
1972,4,72.30000000000001
1972,5,88.5
1972,6,83.55
1972,7,79.9
1972,8,93.35
1972,9,85.1
1972,10,79.1
1972,11,67.2
1972,12,43.3
1973,1,43.0
1973,2,44.8
1973,3,43.1
1973,4,65.05000000000001
1973,5,69.7
1973,6,78.45
1973,7,83.3
1973,8,66.05000000000001
1973,9,87.35
1973,10,73.65
1973,11,63.699999999999996
1973,12,60.2
1974,1,58.15
1974,2,46.849999999999994
1974,3,59.95
1974,4,61.7
1974,5,88.30000000000001
1974,6,83.65
1974,7,85.15
1974,8,82.5
1974,9,101.44999999999999
1974,10,88.95
1974,11,69.2
1974,12,59.2
1975,1,46.15
1975,2,41.55
1975,3,49.3
1975,4,58.7
1975,5,81.25
1975,6,73.8
1975,7,78.15
1975,8,81.35
1975,9,85.05
1975,10,66.5
1975,11,61.45
1975,12,50.05
1976,1,59.650000000000006
1976,2,55.95
1976,3,49.65
1976,4,74.25
1976,5,70.44999999999999
1976,6,62.15
1976,7,70.35
1976,8,80.3
1976,9,84.7
1976,10,85.45
1976,11,71.6
1976,12,59.849999999999994
1977,1,53.6
1977,2,41.150000000000006
1977,3,45.95
1977,4,68.5
1977,5,67.7
1977,6,70.0
1977,7,79.2
