Year,Month,Temperature
1936,11,0.18932038834951515
1936,12,-0.5970873786407767
1937,1,-1.0048543689320382
1937,2,-0.42233009708737823
1937,3,0.3058252427184467
1937,4,0.18932038834951515
1937,5,0.3058252427184467
1937,6,0.8883495145631066
1937,7,0.9466019417475735
1937,8,0.9466019417475735
1937,9,1.0048543689320422
1937,10,0.6844660194174748
1937,11,0.13106796116504826
1937,12,-0.45145631067961167
1938,1,-0.9174757281553401
1938,2,-0.6262135922330101
1938,3,0.0728155339805836
1938,4,0.2475728155339798
1938,5,0.5388349514563098
1938,6,0.8300970873786397
1938,7,1.0339805825242716
1938,8,0.9757281553398047
1938,9,0.8009708737864085
1938,10,0.7718446601941751
1938,11,-0.18932038834951515
1938,12,-0.5970873786407767
1939,1,-0.7135922330097082
1939,2,-0.5097087378640764
1939,3,-0.04368932038835016
1939,4,0.0728155339805836
1939,5,0.9174757281553401
1939,6,0.8883495145631066
1939,7,1.0339805825242716
1939,8,0.9466019417475735
1939,9,0.6553398058252435
1939,10,0.8592233009708732
1939,11,0.13106796116505248
1939,12,-0.4805825242718451
1940,1,-1.0048543689320382
1940,2,-0.7427184466019416
1940,3,0.01456310679611672
1940,4,0.18932038834951515
1940,5,0.36407766990291357
1940,6,1.0048543689320422
1940,7,1.0339805825242716
1940,8,0.9174757281553401
1940,9,1.0339805825242716
1940,10,0.6553398058252435
1940,11,0.18932038834951515
1940,12,-0.3932038834951448
1941,1,-0.6262135922330101
1941,2,-0.36407766990291135
1941,3,0.2475728155339798
1941,4,0.5970873786407767
1941,5,0.8592233009708732
1941,6,0.9174757281553401
1941,7,0.6553398058252435
1941,8,1.0339805825242716
1941,9,0.9174757281553401
1941,10,0.7718446601941751
1941,11,0.3058252427184467
1941,12,-0.4805825242718451
1942,1,-0.9174757281553401
1942,2,-0.45145631067961167
1942,3,0.5679611650485432
1942,4,0.45145631067961167
1942,5,0.6844660194174748
1942,6,0.8592233009708732
1942,7,0.9757281553398047
1942,8,0.8592233009708732
1942,9,0.8009708737864085
1942,10,0.5970873786407767
1942,11,0.27669902912621747
1942,12,-0.5097087378640764
1943,1,-0.8883495145631025
1943,2,-0.8883495145631066
1943,3,-0.01456310679611672
1943,4,0.33495145631068013
1943,5,0.4805825242718451
1943,6,0.4805825242718451
1943,7,0.8592233009708732
1943,8,0.9466019417475735
1943,9,0.7427184466019416
1943,10,0.7427184466019416
1943,11,0.01456310679611672
1943,12,-0.42233009708737823
1944,1,-0.9174757281553401
1944,2,-0.33495145631068013
1944,3,0.27669902912621325
1944,4,0.42233009708737823
1944,5,0.6262135922330101
1944,6,0.9466019417475735
1944,7,1.0922330097087385
1944,8,1.0048543689320422
1944,9,0.8883495145631066
1944,10,0.6262135922330101
1944,11,0.1601941747572817
1944,12,-0.7135922330097082
1945,1,-0.8592233009708732
1945,2,-0.6262135922330101
1945,3,0.13106796116504826
1945,4,0.2475728155339798
1945,5,0.5970873786407767
1945,6,0.8009708737864085
1945,7,1.063106796116505
1945,8,1.0922330097087385
1945,9,0.9466019417475735
1945,10,0.7427184466019416
1945,11,0.1601941747572817
1945,12,-0.6844660194174749
1946,1,-0.9466019417475714
1946,2,-0.33495145631068013
1946,3,0.3058252427184467
1946,4,0.3058252427184467
1946,5,0.6553398058252435
1946,6,0.7427184466019416
1946,7,0.8300970873786397
1946,8,0.9466019417475735
1946,9,0.9466019417475735
1946,10,0.7718446601941751
1946,11,0.42233009708738245
1946,12,-0.5679611650485432
1947,1,-0.7718446601941751
1947,2,-0.6844660194174749
1947,3,0.33495145631068013
1947,4,0.45145631067961167
1947,5,0.6553398058252435
1947,6,0.9466019417475735
1947,7,0.9174757281553401
1947,8,1.0922330097087385
1947,9,0.8300970873786397
1947,10,0.8009708737864085
1947,11,0.45145631067961167
1947,12,-0.4805825242718451
1948,1,-1.0339805825242716
1948,2,-0.27669902912621325
1948,3,0.1601941747572817
1948,4,0.3932038834951448
1948,5,0.6262135922330101
1948,6,0.8592233009708772
1948,7,0.9174757281553401
1948,8,0.9174757281553401
1948,9,0.8300970873786397
1948,10,0.7718446601941751
1948,11,-0.07281553398058138
1948,12,-0.6553398058252414
1949,1,-1.0339805825242716
1949,2,-0.6844660194174749
1949,3,0.01456310679611672
1949,4,0.45145631067961167
1949,5,0.6553398058252435
1949,6,0.8300970873786397
1949,7,0.7718446601941751
1949,8,0.9466019417475735
1949,9,0.6844660194174748
1949,10,0.6262135922330101
1949,11,-0.21844660194174637
1949,12,-0.8300970873786399
1950,1,-1.063106796116505
1950,2,-0.8592233009708732
1950,3,0.04368932038835016
1950,4,0.1601941747572817
1950,5,0.5388349514563098
1950,6,0.9174757281553401
1950,7,0.7427184466019416
1950,8,0.8009708737864085
1950,9,0.6553398058252435
1950,10,0.5679611650485472
1950,11,-0.18932038834951515
1950,12,-1.1213592233009697
1951,1,-1.1213592233009697
1951,2,-0.8883495145631066
1951,3,-0.1601941747572817
1951,4,0.27669902912621747
1951,5,0.5388349514563098
1951,6,0.9174757281553401
1951,7,0.9174757281553401
1951,8,1.0922330097087385
1951,9,1.1213592233009697
1951,10,0.6553398058252435
1951,11,0.21844660194174859
1951,12,-0.8009708737864064
1952,1,-0.9174757281553401
1952,2,-0.33495145631068013
1952,3,0.42233009708737823
1952,4,0.33495145631068013
1952,5,0.5679611650485432
1952,6,1.0048543689320382
1952,7,0.8592233009708732
1952,8,1.0048543689320422
1952,9,1.063106796116505
1952,10,0.7135922330097122
1952,11,0.2475728155339798
1952,12,-0.7718446601941751
1953,1,-0.8592233009708732
